epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
143,235.123,0.98399,0.48754,1.07737,0.95897,1,0.97139,0.66171,1.13948,0.48268,1.02853,0.00087536,0.00087536,0.00087536
144,236.758,0.98881,0.53795,1.05518,0.85971,1,0.91835,0.6244,1.17327,0.5656,1.04296,0.00086744,0.00086744,0.00086744
145,238.401,0.93107,0.46702,1.03263,0.9438,1,0.96972,0.68461,1.15041,0.46641,1.0288,0.00085952,0.00085952,0.00085952
146,240.051,0.97709,0.45769,1.03343,0.75444,1,0.93384,0.66096,1.14255,0.65859,1.03226,0.0008516,0.0008516,0.0008516
147,241.683,1.00099,0.49251,1.08869,0.76492,1,0.96905,0.67444,1.16151,0.61389,1.04697,0.00084368,0.00084368,0.00084368
148,243.313,1.03382,0.47225,1.08147,0.81185,1,0.99278,0.67573,1.18912,0.56393,1.05796,0.00083576,0.00083576,0.00083576
149,244.946,1.01412,0.48687,1.11732,0.82649,1,0.995,0.66845,1.1705,0.53749,1.04178,0.00082784,0.00082784,0.00082784
150,246.577,1.01147,0.49977,1.04343,0.79748,1,0.97594,0.67479,1.1354,0.57064,1.03548,0.00081992,0.00081992,0.00081992
151,248.197,0.86298,0.46563,1.03453,0.88119,1,0.98552,0.69031,1.12134,0.6423,1.03283,0.000812,0.000812,0.000812
152,249.816,0.99358,0.51755,1.08696,0.72455,1,0.82527,0.56949,1.1571,0.91691,1.05416,0.00080408,0.00080408,0.00080408
153,251.447,0.91297,0.47097,1.02748,0.66438,1,0.77884,0.54016,1.11017,1.06735,1.04278,0.00079616,0.00079616,0.00079616
154,253.07,1.01359,0.52344,1.06658,0.76696,1,0.79564,0.54336,1.13513,0.98544,1.06089,0.00078824,0.00078824,0.00078824
155,254.687,0.95094,0.47246,1.05182,0.66089,1,0.74862,0.52298,1.14255,0.8963,1.0496,0.00078032,0.00078032,0.00078032
156,256.325,1.06064,0.4699,1.09121,0.74462,1,0.90352,0.64619,1.14836,0.66528,1.02798,0.0007724,0.0007724,0.0007724
157,257.957,1.01587,0.46523,1.08543,0.7967,1,0.92787,0.65344,1.13359,0.64566,1.03147,0.00076448,0.00076448,0.00076448
158,259.586,0.92684,0.45275,1.03145,0.97012,1,0.97278,0.6872,1.12428,0.44361,1.02677,0.00075656,0.00075656,0.00075656
159,261.232,0.97552,0.47971,1.04288,0.96995,1,0.98333,0.69666,1.14383,0.41793,1.03063,0.00074864,0.00074864,0.00074864
160,262.862,0.9911,0.49362,1.07214,0.97045,1,0.98333,0.68926,1.16287,0.43567,1.03363,0.00074072,0.00074072,0.00074072
161,264.49,0.97178,0.47786,1.05514,0.9704,1,0.96889,0.67777,1.1465,0.45313,1.03202,0.0007328,0.0007328,0.0007328
162,266.119,0.98181,0.47889,1.06458,0.97032,1,0.96806,0.67561,1.11978,0.44846,1.02025,0.00072488,0.00072488,0.00072488
163,267.754,1.00537,0.52365,1.06448,0.9703,1,0.96736,0.67087,1.10062,0.42452,1.01997,0.00071696,0.00071696,0.00071696
164,269.384,0.99498,0.48814,1.09597,0.97022,1,0.96736,0.66541,1.10772,0.41625,1.01779,0.00070904,0.00070904,0.00070904
165,271.016,0.97377,0.47076,1.0481,0.97029,1,0.98556,0.68222,1.1322,0.41654,1.02324,0.00070112,0.00070112,0.00070112
166,272.647,0.96159,0.46607,1.05902,0.97052,1,0.99444,0.69705,1.14726,0.42796,1.03018,0.0006932,0.0006932,0.0006932
167,274.282,0.94316,0.44801,1.02662,0.97049,1,0.99111,0.69478,1.14399,0.42249,1.03178,0.00068528,0.00068528,0.00068528
168,275.914,0.9787,0.4786,1.05296,0.9704,1,0.9825,0.69408,1.13545,0.41346,1.03059,0.00067736,0.00067736,0.00067736
169,277.547,0.95361,0.47437,1.05031,0.97029,1,0.96806,0.66973,1.14755,0.42163,1.03451,0.00066944,0.00066944,0.00066944
170,279.178,0.96485,0.46463,1.05585,0.97019,1,0.96806,0.69899,1.12848,0.41066,1.03212,0.00066152,0.00066152,0.00066152
171,280.808,0.92846,0.47112,1.02315,0.97037,1,0.96736,0.70547,1.11249,0.41711,1.03172,0.0006536,0.0006536,0.0006536
172,282.438,0.96777,0.46559,1.04388,0.9705,1,0.96736,0.71331,1.1014,0.41768,1.02428,0.00064568,0.00064568,0.00064568
173,284.068,0.95844,0.44499,1.04292,0.97051,1,0.96736,0.6968,1.11462,0.4131,1.02738,0.00063776,0.00063776,0.00063776
174,285.698,1.05074,0.48167,1.12321,0.96992,1,0.96806,0.69578,1.13376,0.43193,1.0348,0.00062984,0.00062984,0.00062984
175,287.324,0.97839,0.49385,1.09599,0.97051,1,0.96806,0.6863,1.13833,0.44511,1.04346,0.00062192,0.00062192,0.00062192
176,288.958,0.92767,0.43367,1.04486,0.97044,1,0.96806,0.68399,1.12805,0.43027,1.03479,0.000614,0.000614,0.000614
177,290.601,0.91998,0.44952,1.04227,0.97019,1,0.97361,0.69182,1.1272,0.41955,1.02777,0.00060608,0.00060608,0.00060608
178,292.233,0.9333,0.48852,1.03191,0.97006,1,0.98167,0.70943,1.12764,0.41097,1.02551,0.00059816,0.00059816,0.00059816
179,293.867,0.96165,0.45035,1.03829,0.97006,1,0.98389,0.701,1.10898,0.41103,1.02113,0.00059024,0.00059024,0.00059024
180,295.502,0.90098,0.44976,1.0317,0.96847,1,0.98806,0.70667,1.10343,0.42728,1.01679,0.00058232,0.00058232,0.00058232
181,297.135,0.9442,0.47037,1.06322,0.96953,1,0.98389,0.70014,1.07577,0.39935,1.00781,0.0005744,0.0005744,0.0005744
182,298.767,0.94778,0.4629,1.04826,0.9703,1,0.97778,0.72698,1.06866,0.40732,1.00659,0.00056648,0.00056648,0.00056648
183,300.4,0.92467,0.45766,1.01438,0.97046,1,0.96806,0.6947,1.09608,0.42494,1.0199,0.00055856,0.00055856,0.00055856
184,302.031,0.94486,0.4448,1.03903,0.97048,1,0.96736,0.70914,1.08996,0.43621,1.02432,0.00055064,0.00055064,0.00055064
